subband index,frequency (Hz),Avg Error %,Min Error %,Max Error %,Avg Error,Min Error,Max Error,Min Out,Max Out,Min Ref,Max Ref,Shift,Range Size %,Ref Range,Avg Err/Range,Min Err/Range,Max Err/Range
133,2.60E+07,1.8013,0.000408719,16.5751,2984.21,0.703125,37144.9,116224,301056,118918,338201,19919.5,84.28925179,219283,1.360894369,0.0003206472914,16.93925202
134,2.62E+07,2.79925,0.000495101,49.0994,5014.69,0.953125,138792,86016,626688,120993,752005,80147,85.68331506,631012,0.7947059644,0.0001510470482,21.99514431
135,2.64E+07,2.78773,7.52E-05,54.6223,5165.98,0.109375,143469,81920,696320,127673,835599,92516,86.78873216,707926,0.7297344638,0.00001545006116,20.26610126
136,2.66E+07,1.8314,0.000326973,10.2019,2982.27,0.5625,24309,119808,253952,120062,259599,2950.5,96.13507528,139537,2.137261085,0.000403118886,17.42118578
137,2.68E+07,4.64926,2.46E-05,92.1941,9906.06,0.046875,317028,36352,1.47E+06,129530,1.79E+06,205104,8.65E+01,1662060,0.5960109743,0.000002820295296,19.07440165
138,2.70E+07,1.66848,1.27E-05,7.68245,2684.4,0.015625,14997.8,118784,256000,118839,261721,2888,96.03449,142882,1.878753097,0.00001093559721,10.49663359
139,2.71E+07,4.50662,0.000213623,70.0684,9899.55,0.4375,233648,79360,1.23E+06,146754,1.46E+06,148657,8.76E+01,1311966,0.7545584261,0.00003334690076,17.8089981
140,2.73E+07,2.29925,0,40.0626,3998.78,0,106090,99328,524288,119213,622186,58891.5,84.48962469,502973,0.795028759,0,21.0925835
141,2.75E+07,1.48654,0.000313966,5.29947,2356.24,0.390625,9573.38,116224,258048,116926,265202,3928,95.64865521,148276,1.589090615,0.0002634445224,6.456459575
142,2.77E+07,1.53963,0.00243512,7.53526,2468.94,3.05469,14080.2,117248,262144,118566,267359,3266.5,97.38092518,148793,1.65931193,0.002052979643,9.462945165
143,2.79E+07,1.55133,0.000251095,8.18805,2511.58,0.40625,16688.7,118272,262144,119127,269913,4312,95.41469367,150786,1.665658616,0.0002694215643,11.0678047
144,2.81E+07,1.42991,0.000467938,5.09232,2297.97,0.71875,10133,116224,264192,117251,271449,4142,95.95974007,154198,1.490272247,0.0004661214802,6.57142116
